k,K_eta_psi
1,-157.04283476258698
2,0.7284579387331754
3,-0.5430004027433419
4,0.8252993738861903
5,-1.9125805115359522
6,5.99304677411929
7,-23.75970579691986
8,114.23532521497515
9,-646.7574289578016
10,4219.43392235796
11,-31197.460273661134
12,258000.93183473294
13,-2361148.4140187292
14,23702160.836909752
15,-259052310.97986034
16,3063158388.2095146
17,-38972593452.46881
18,530991707618.7842
19,-7714994796269.101
20,119094432752985.86
21,-1946783982155935.8
22,3.3598860961849304e+16
23,-6.105873430596333e+17
24,1.165552680898949e+19
25,-2.3319290379564106e+20
26,4.879985893299378e+21
27,-1.066188864540959e+23
28,2.4278292926776424e+24
29,-5.752849899479902e+25
30,1.4164182607152002e+27
31,-3.6186884636873783e+28
32,9.580983035645559e+29
33,-2.6257448831835048e+31
34,7.440392966865426e+32
35,-2.1776460688152326e+34
36,6.5765962485954295e+35
37,-2.0475605044602735e+37
38,6.5662275382711786e+38
39,-2.1671128624053938e+40
40,7.355217610414838e+41
41,-2.56529655151808e+43
42,9.1876338313526e+44
43,-3.376796939416988e+46
44,1.2728186204606214e+48
45,-4.91729851849355e+49
46,1.945966720781359e+51
47,-7.884145556878939e+52
48,3.2685596691288646e+54
49,-1.3858709958595548e+56
50,6.006826557228469e+57
